401635	خیلی ها از تبلیغات فریب خوردند.	41014	Many people were deceived by the advertisement.
401637	جمعیت زیادی از مردم در جشن حاضر بودند.	41016	A crowd of people were present at a party.
401640	شمار زیادی از مردم از سرتاسر کشور آمده اند.	41018	Numbers of people came from all over the country.
401648	خیلی ها در صف منتظر بودند.	41019	Many people were waiting in line.
401659	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.	41017	A good many people have told me to take a holiday.
401977	من و او(زن) هم سن هستیم.	401671	She and I are the same age.
401978	جان و بت هم سن هستند.	401672	John and Beth are the same age.
401979	من به اندازه ی اون پیر(بزرگ) هستم.	401673	I'm as old as he is.
401980	او مرا نادیده گرفت حتی زمانی که مرا در خیابان دید.	401677	She ignored me even when she met me on the street.
401981	او وانمود کرد که مرا نمی شنود.	401694	He pretended not to hear me.
401982	او وانمود کرد که صدای ریئسش را نمی شنود.	401695	He pretended not to hear his boss.
402861	مگ آدم پر حرفی است.	31821	Meg talks too much.
402862	مگ هم قد کن است.	31823	Meg is as tall as Ken.
402863	کفش های مگ کوچک شده اند.	31824	Meg's shoes are a little loose.
402864	من مگ را دیدم که خبرها را به من گفت.	31825	I met Meg, who told me the news.
402865	دکتر خوبی کسی است که به راهنمایی های خودش عمل کند.	28024	A good doctor follows his own directions.
505651	سلام حالت چطوره؟	505657	Hello, how are you doing?
505873	سلام	538123	Hi.
505873	سلام	1858850	Hello.
505875	متشکرم	374827	Thank you!
505905	من فردا هرات ميرم	505937	Hi, are you OK?
505954	سلام بابا.	1802387	Hi, Father.
506110	تمام افراد بشر آزاد زاده می‌شوند و از لحاظ حيثيت و كرامت و حقوق با هم برابراند. همگی دارای عقل و وجدان هستند و بايد با يكديگر با روحيه ای برادرانه رفتار كنند.	338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
506683	من تا به حال چیزی مانند این ندیدم.	54721	I've never seen anything like this before.
506686	خواهرت الان چه کار می کند؟	506606	What is your sister doing now?
506687	فردا یکشنبه است.	506460	Tomorrow is Sunday.
506688	من و تونی دیروز با هم بازی کردیم.	506455	Tony and I played together yesterday.
506690	ما دو بچه داریم.	506454	We have two children.
506691	من یک نامه از دوستم دریافت کردم.	506453	I got a letter from my friend.
506692	من دیروز آمدم اینجا.	506451	I came here yesterday.
506693	چین بزرگتر از ژاپن است.	506450	China is bigger than Japan.
506693	چین بزرگتر از ژاپن است.	1558697	China is larger than Japan.
506694	من متوجه نشدم.	506447	I don't understand this.
506696	نگران نباش.	506446	Don't worry.
506697	این غیر ممکن!	506445	This is impossible!
506700	سلام حال شما چطوره	510389	Hi. How are you?
